name,rule34_posts,danbooru_posts
auxtasy,925,40
meekohopanes,925,101
daiaru,924,773
shpo,919,425
asanagi,917,1393
redjet,915,325
abubu,915,2189
kaigun_bakuryou,914,87
ryanreos,913,71
pocari66,909,164
houtengeki,906,2303
konakona,906,186
stormcow,904,295
totesfleisch8,904,110
darkereve,894,88
boxman,894,57
null_(nyanpyoun),893,1562
coro_fae,891,344
terasu_mc,890,130
melkor_mancin,890,93
yuta_agc,890,239
tarakanovich,889,426
akchu,886,640
bigrbear,885,828
derpixon,882,110
hikage_eiji,882,500
kase_daiki,879,1044
fluffydango,876,286
cslucaris,875,228
almualim,874,95
d-rex,866,457
thehumancopier,865,42
nanoless,865,722
merry_program,865,145
kenshin187,864,607
joy_ride,861,763
eltonel,852,66
zanamaoria,852,325
lexaiduer,850,152
speedl00ver,842,242
my_pet_tentacle_monster,842,143
aoi_nagisa_(metalder),839,529
kukumomo,838,308
chelodoy,832,60
sunahara_wataru,831,169
firolian,829,189
wanaata,829,476
splush_wave,828,228
cherry-gig,826,119
nephlite,826,249
arhoangel,825,38
liang_xing,825,719
jellcaps,824,210
redmoa,818,34
aikome_(haikome),818,262
cosine,817,230
saigado,816,652
mot,816,65
tomodachi_(tomofanart),816,131
hioyami,815,253
gyarusatan,815,58
erere,812,764
furau,811,349
john_joseco,809,61
nao_(ritsancrossover),806,454
loodncrood,806,197
sciamano240,803,870
scocks4you,802,44
felox08,796,50
cafekun,795,483
arachnart,795,35
tsukudani_(coke-buta),794,2086
wjs07,794,82
ricegnat,792,668
hajika,787,406
ice_place,785,90
mosha,784,696
chicago-x,781,435
mamerakkkkko,781,773
plusout,781,72
mizushima_oonari,780,104
yamamoto_doujin,778,34
freddyhalloween,776,36
kloah,775,959
monobe_yuri,775,426
ndgd,773,608
nishieda,771,974
kanel,770,91
vahn_yourdoom,767,768
lasterk,766,978
demonlorddante,765,34
myth1carts,763,364
a1,762,2847
murakami_suigun,761,1366
marushin_(denwa0214),761,436
eufoniuz,760,232
mochizuki_nozomu,759,142
snegovski,758,239
cafin,757,160
jasony,754,219
namespace,753,88
playzholder,751,34
dizdoodz,749,121
kuavera,749,1160
nironiro,747,803
hmage,747,177
ancesra,745,703
ichijiku,740,61
dangerousbride,739,48
rikuguma,738,221
ebora,735,238
popogori,731,45
topu,731,591
shouna_mitsuishi,729,250
chihunhentai,729,381
mixplin,725,189
yuzuna_hiyo,724,53
norasuko,722,737
akairiot,722,1207
shin'ya_(shin'yanchi),720,454
zaphn,720,510
greenmarine,719,408
kyder,718,63
choco_chip,716,453
joy_division,716,236
yamakaze_ran,714,167
tovio_rogers,714,109
chikaretsu,712,344
obui,711,372
dearonnus,710,331
norza,706,376
hekiga_(freelot),705,690
rakeemspoon,704,371
sameha_ikuya,704,516
rammionn,704,89
evomanaphy,702,191
mandio_art,702,33
kurikara,700,845
fuya_(tempupupu),699,722
bagelbomb,698,115
lvl_(sentrythe2310),696,695
suoiresnu,695,299
chromapan,695,35
nuezou,694,461
makino_tomoyasu,694,109
kameseru,694,70
ky.,692,143
ninopal,692,80
coffeeslice,692,85
homare_(suzu_no_oka),691,198
tomoyuki_kotani,690,289
felipe_godoy,690,131
melowh,688,272
theironmountain,682,36
aelion_draws,680,157
kyouno_aki,680,117
kidmo,679,280
starraisins,679,666
shengtian,678,753
lewdamone,677,317
kaiga,674,666
bayeuxman,673,138
onigirikun,672,523
oekakizuki,670,960
wingedwasabi,666,77
soubriquetrouge,666,57
laceysx,665,88
doktor_malefic,663,39
rebis,663,184
todding,662,270
tomu_(tomubobu),662,531
tokonone,661,436
yoongonji,660,48
konno_tohiro,660,703
baru_(val-val),660,191
morisobo,657,594
okpriko,656,292
bosshi,656,980
splashbrush,655,331
sashizume_soutarou,653,277
live_for_the_funk,652,202
theobrobine,652,112
carnelian,652,2459
foxinshadow,650,40
774_(nanashi),650,766
kaneko_hiraku,648,155
eroe,648,1026
fuzzamorous,646,69
fuzzlogik,645,65
kuroshinki,645,327
tanaken,643,48
papepox2,642,42
lilmoonie,639,63
nudiedoodles,637,89
shin'yashiki,637,510
gonzarez,636,1296
r3dfive,635,319
tottotonero,634,657
fir3born,633,609
studio_sunadokei,632,111
magaska19,631,31
sanuki_(kyoudashya),628,183
onomeshin,628,333
kunai_uri,627,64
tsukasawa_takamatsu,625,528
maniacpaint,625,379
drcockula,622,91
everyday2,621,35
ateoyh,620,272
iizuki_tasuku,619,1104
mavezar,619,41
jack_dempa,619,997
ishii_akira,617,144
gmkj,617,790
animeflux,617,249
absol_(dkqthf),614,173
tamada_heijun,613,189
noriheita,612,63
gsusart,610,366
valtor,610,470
supullim,609,86
jornyhail,607,154
atahuta,606,375
mikan_(5555),603,231
dishwasher1910,602,989
kobaji,601,332
ourobot,600,31
nabe0721,599,117
madkaiser,599,70
thanabis,599,209
naavs,598,42
ebi_193,598,1488
sethxzoe,597,133
usa37107692,596,242
misaka_12003-gou,596,411
jabara_tornado,596,695
wamudraws,595,201
kagato007,595,39
crimson_kaiserin,594,71
fumio_(rsqkr),594,1363
oniilus,594,198
blanclauz,594,101
ayase_hazuki,592,392
wolflong,592,156
ru_zhai,591,724
mimonel,589,814
j7w,589,598
demimond23,589,64
tenken_(gotannda),588,925
chacharan,588,620
kisaragi_nana,587,606
diforland,587,148
toyomaru,587,45
tomato_rice,586,261
makochan42,586,100
ganbari_mascarpone,586,47
negurie,586,38
chiyo_(pk19981234),584,353
magukappu,584,870
polki,583,83
bow_(bhp),582,2760
habatakuhituji,577,261
nagainosfw,576,77
koku,573,708
machino_henmaru,573,77
silver_meteor,573,60
karbuitt,573,76
lilish,573,417
eruu_(eruuman),572,167
rea_loixacra,571,85
shishimaru_ken'ya,569,146
zinfyu,568,149
tedain,567,216
tenebscuro,567,37
bluefield,566,407
onikokko,565,337
sulcate,564,166
oni-noboru,562,810
ginko_(silver_fox),561,566
yd_(orange_maru),561,1548
n9at,561,252
takashia_(akimototakashia),561,208
butakoma_300g,561,151
pomelomelon,560,219
makarou,560,121
zankuro,558,757
flytrapxx,558,55
mikeou,557,1108
renetan,557,269
masso_nullbuilt,556,40
faustsketcher,556,487
taki_minashika,556,230
hanpenmaru,555,510
chiri_(atlanta),555,317
gaston18,554,325
makinakid,554,90
asami_asami,551,270
mizuumi_(bb),551,673
dankestofdans,551,159
kisuu,549,69
mistynight,548,66
mirin_chikuwa,547,420
letdie1414,546,190
shikuta_maru,545,221
homri,544,58
belka_dog,544,44
kokman,542,34
throat_(artist),541,127
aomizuan,541,70
laserflip,541,513
kiryu_manzoku,541,493
rudoni,540,323
kakure_eria,538,655
enoshima_iki,537,206
awa,537,1043
paloma_piquet,536,206
shibori_kasu,536,444
lacryboy,535,41
mk_(mod0),534,1051
greatodoggo,534,282
hospital_king,534,973
cryptid_crab,532,35
pink_doragon,532,83
achromaru,531,207
2n5,531,81
gorou_naoki,530,68
menyoujan,530,176
redi_(rasec_asdjh),530,184
iahfy,529,651
dorachefu,529,35
yoshi_tama,529,1156
hamashima_shigeo,528,201
neneneji,528,292
kimoshi,528,656
umedama_nabu,528,179
sirfy,528,58
sunhyun,527,628
hajime_shindo,527,51
korotsuke,526,66
handplug,525,198
amog,524,344
aozoraichi,523,105
chomikuplus,523,180
sumisumii,522,109
alpha_(alpha91),522,183
kawakami_rokkaku,521,774
kunabishi,521,416
shaggy_susu,520,180
vvulfbara,520,38
cheezebawls,520,40
asaga_aoi,519,328
horn/wood,514,790
hokuro_ryuuseigun,513,434
ninai,511,488
moebell,511,343
soranamae,511,552
elleciel.eud,510,241
kawa-v,510,62
munashi_mujou,509,274
djayo,508,53
kurokoshou_(emuburemu123),507,773
ebonyxh,506,174
amazon_(taitaitaira),506,769
zen33n,506,690
nagase_yuuki,505,98
count_zero,504,182
ishikei,504,1577
ouma_tokiichi,503,609
hirasawa_seiji,503,268
uni8,503,638
owler,502,245
kamina1978,500,33
waero,499,1260
gggg,499,382
moral_cacoethes,498,304
kantoku,497,2255
steamingtofu,497,36
megao_3rd,496,281
kilesha,496,412
my700,496,229
mahmapuu,495,39
malberrybush,495,130
pononozo,494,560
dismassd,494,184
monikano,494,532
cheunchin,492,67
sinccubi,492,78
ecoas,492,36
pinkdrawz,492,45
awesomeerix,492,150
tetrodotoxin,491,236
chushou_jiang,490,93
badlavender,489,38
komori_kei,489,473
kienbiu,489,344
j@ck,489,430
brikot,488,128
the_only_shoe,487,345
eonsang,487,462
queen-zelda,486,33
ittla,486,542
luxuria,486,47
tenseiani,485,133
kusujinn,485,76
mangamaster,485,70
mibry_(phrysm),485,341
olchas,484,263
exga,483,71
faejunkie,480,91
mochirong,480,431
ramchi,480,1244
fi-san,480,544
m.i.y,480,54
wa_(genryusui),478,1807
softshikioni,478,52
kawanuma_uotsuri,478,139
artsheops,477,92
twin_(tt_lsh),477,459
kashiwamochi_yomogi,476,1070
queasy_s,476,200
marugoshi_(54burger),476,689
mashitaka,476,36
no_name_ninja,476,85
onoe,474,119
sevie,473,89
gatchan,473,336
